timestamp,total_operations_per_sec,successful_operations_per_sec,failed_operations_per_sec,availability_percentage,avg_latency_ms,p95_latency_ms,p99_latency_ms,total_nodes,alive_nodes,storage_used_gb,storage_total_gb,storage_utilization_percent,network_in_mbps,network_out_mbps,cache_hit_rate_percent,replication_factor,data_durability_percent,is_peak_hour,hour_of_day,day_of_week,weekend
2024-01-01 00:00:00,3041,3023,18,100.0,5.832603142420298,19.393324267344894,36.45829933972773,6,6,101.70236572480358,500,20.340473144960715,1391.2614079507234,1092.205099159503,98.41199509374404,3,99.99841493951457,False,0,0,False
2024-01-01 01:00:00,3347,3318,29,100.0,6.358857009899959,17.066760707589747,38.78066787395291,6,6,103.7905925047112,500,20.758118500942242,1681.1355229318049,858.2492801014721,97.3659905161461,3,99.99896077513907,False,1,0,False
2024-01-01 02:00:00,2838,2806,32,100.0,7.048335480534654,12.245884275147251,26.922538849775826,6,6,101.60702558645984,500,20.321405117291967,1498.259867233482,836.4972060366498,93.65461522588674,3,99.99817119929182,False,2,0,False
2024-01-01 03:00:00,3943,3909,34,100.0,7.4328856878347915,11.922862022890497,26.254556915447658,6,6,102.89073575043206,500,20.578147150086412,2280.713034651447,1342.506533237637,90.0856803450435,3,99.99850752944751,False,3,0,False
2024-01-01 04:00:00,2308,2301,7,100.0,5.2756579869472375,17.100515527576174,39.3863231464066,6,6,98.12848071148642,500,19.625696142297283,1222.5393743749744,614.97474026805,97.85406698787662,3,99.99886713628374,False,4,0,False
2024-01-01 05:00:00,2027,2019,8,100.0,6.83488964825427,12.096276724686053,35.077601951721,6,6,103.32054013088371,500,20.66410802617674,956.0834554764853,502.2063919006304,91.0927369546814,3,99.99901343274601,False,5,0,False
2024-01-01 06:00:00,2975,2940,35,100.0,5.607945175963729,15.303172999578491,38.95166270338955,6,6,104.29132528656709,500,20.858265057313417,1708.0412507419371,933.8394022815759,90.65882769821015,3,99.99867070847274,False,6,0,False
2024-01-01 07:00:00,1900,1884,16,100.0,6.788766454664404,18.525576946781012,37.247733609788156,6,6,99.71077632134946,500,19.942155264269893,1093.7187685577887,535.6956833558678,93.46206628474228,3,99.99989554606006,False,7,0,False
2024-01-01 08:00:00,3378,3343,35,100.0,7.425880581600799,13.506878291602487,36.86867246309655,6,6,101.44119031852708,500,20.288238063705418,1582.5468036044197,1188.3215077318575,91.64812446448455,3,99.9983103582468,False,8,0,False
2024-01-01 09:00:00,10380,10295,85,100.0,8.508992450246227,25.63715552956211,45.30839117151565,6,6,106.23384174341535,500,21.24676834868307,5810.49054028891,3440.1916442160996,95.39337393968252,3,99.99939042346551,True,9,0,False
2024-01-01 10:00:00,9966,9912,54,100.0,13.744390160603935,32.438500641917685,50.72139837532528,6,6,109.46924673524833,500,21.893849347049667,4979.234484590304,2645.052371890936,93.36248481122713,3,99.99858408766191,True,10,0,False
2024-01-01 11:00:00,14952,14861,91,100.0,10.754754518589266,31.756733670817567,47.60032882293948,6,6,102.27571555756552,500,20.455143111513106,8093.68042751582,3935.141186920778,89.65601186649477,3,99.99904354096097,True,11,0,False
2024-01-01 12:00:00,11659,11616,43,100.0,13.681691857569547,22.05577272052885,53.70446400951596,6,6,108.60922678089987,500,21.721845356179976,5420.93144964518,3246.040642338089,90.99550513723038,3,99.99937762991235,True,12,0,False
2024-01-01 13:00:00,10986,10943,43,100.0,14.946499033433643,32.55895797878015,50.42509572537554,6,6,108.48920075834207,500,21.697840151668412,5379.531910144355,3111.7231014915874,85.11503053397449,3,99.99940814503061,True,13,0,False
2024-01-01 14:00:00,10281,10145,136,100.0,14.85425510527524,23.22982597345037,58.91169090729544,6,6,104.89791789650697,500,20.979583579301394,5971.777501952858,3644.468768472452,91.77143802548345,3,99.99974105122949,True,14,0,False
2024-01-01 15:00:00,12670,12582,88,100.0,11.837596453451456,31.046284340851106,58.520978613904475,6,6,108.62210408294969,500,21.724420816589937,6716.414496728253,3465.8654470574247,96.45992143849249,3,99.9989298510116,True,15,0,False
2024-01-01 16:00:00,13911,13810,101,100.0,12.483246383063134,34.52540598968088,56.23560593449049,6,6,109.62907348985637,500,21.925814697971273,7557.516541635261,4367.236524726809,97.59243193695104,3,99.99811471535337,True,16,0,False
2024-01-01 17:00:00,11691,11549,142,100.0,9.609617500548884,23.81953213352494,47.931649789138994,6,6,114.0150419440265,500,22.803008388805303,7005.368960101537,3608.9625790028404,94.73440916084992,3,99.99853911980061,True,17,0,False
2024-01-01 18:00:00,10174,10038,136,100.0,13.520241859862232,28.31561173482926,49.55660381317139,6,6,113.21885233081636,500,22.64377046616327,5733.765488081882,2874.8140200325824,89.93172287499382,3,99.99866643774382,True,18,0,False
2024-01-01 19:00:00,3528,3496,32,100.0,3.769274204184294,12.639552077644051,33.81923271670981,6,6,115.2202017068038,500,23.044040341360763,1436.7634548416104,1197.3567390371627,90.84765566827888,3,99.99913065279026,False,19,0,False
2024-01-01 20:00:00,3453,3404,49,100.0,3.5863643773111256,18.40245247715248,34.19277505589058,6,6,113.20490574796227,500,22.640981149592456,1869.1556826286849,1089.8567578033376,98.06794180926457,3,99.99930927861278,False,20,0,False
2024-01-01 21:00:00,1928,1901,27,100.0,6.486837550041575,19.67404505965972,35.80935422288604,6,6,108.14511570332324,500,21.62902314066465,807.9671508255836,673.9821866513958,98.83814756522199,3,99.99955562102264,False,21,0,False
