timestamp,client_id,department,request_count,avg_latency_ms,data_transferred_mb,error_count,error_rate_percent,sla_compliance_percent,cost_usd,cache_hit_rate_percent,connection_count,is_peak_hour,hour_of_day,day_of_week
2024-01-01 00:00:00,web-app-prod,E-commerce,990,39.0862594246817,2.4169921875,1,0.19701449376260538,100,0.0006247643487027916,91.68654603606412,148,False,0,0
2024-01-01 00:00:00,mobile-app-prod,Mobile,635,27.03600429909254,1.1162109375,0,0.13126521141480088,100,0.000520767718419581,91.43145267239353,129,False,0,0
2024-01-01 00:00:00,batch-processing,Data Engineering,277,38.81065440288061,13.525390625,0,0.09111972312227266,100,0.00031064638637560955,85.20671610218461,103,False,0,0
2024-01-01 00:00:00,analytics-platform,Analytics,239,24.86894834735076,2.333984375,0,0.085338995359979,100,0.00039506011391890196,97.10191925115251,145,False,0,0
2024-01-01 00:00:00,api-service,Platform,424,19.310668590716986,2.0703125,0,0.18258877700244003,100,0.0008143643095547379,87.56049350441164,70,False,0,0
2024-01-01 00:00:00,data-pipeline,Data Engineering,279,11.405322133199823,27.24609375,0,0.10368885238423846,100,0.0004071252175613126,95.22621264499975,111,False,0,0
2024-01-01 01:00:00,web-app-prod,E-commerce,740,32.21852936294446,1.806640625,1,0.1815102033514525,100,0.0009186255426067415,88.82076678833978,173,False,1,0
2024-01-01 01:00:00,mobile-app-prod,Mobile,682,33.22769051172547,1.1988281250000001,1,0.14907289725130157,100,0.00034170210605981093,89.09238864696617,173,False,1,0
2024-01-01 01:00:00,batch-processing,Data Engineering,266,16.142145915451238,12.98828125,0,0.15846600884787632,100,0.0004029892648950128,91.24670445630771,146,False,1,0
2024-01-01 01:00:00,analytics-platform,Analytics,207,13.157523427801927,2.021484375,0,0.14161992232576345,100,0.0001110072343015644,93.841988380651,178,False,1,0
2024-01-01 01:00:00,api-service,Platform,379,19.674871496468484,1.8505859375,0,0.18052553064774013,100,0.00029508292851207805,90.46321891973369,78,False,1,0
2024-01-01 01:00:00,data-pipeline,Data Engineering,268,34.9234864445028,26.171875,0,0.18161175094435658,100,0.0003045336666503563,94.61617477047889,178,False,1,0
2024-01-01 02:00:00,web-app-prod,E-commerce,720,32.48138682236768,1.7578125,1,0.17567949363263546,100,0.0010332868906576195,92.34111044088444,91,False,2,0
2024-01-01 02:00:00,mobile-app-prod,Mobile,874,30.608639545565097,1.536328125,0,0.07989560101251926,100,0.0016026481784452973,96.11809653307257,15,False,2,0
2024-01-01 02:00:00,batch-processing,Data Engineering,1277,30.643918455351844,62.353515625,2,0.1857025104507927,100,0.001150038410265644,97.7227475566866,191,False,2,0
2024-01-01 02:00:00,analytics-platform,Analytics,173,12.802986354489857,1.689453125,0,0.16910526089761904,100,0.00022512800126213363,91.84221282580253,17,False,2,0
2024-01-01 02:00:00,api-service,Platform,407,21.45240861174573,1.9873046875,0,0.18874067408031506,100,0.00028900625408253335,89.16996224331331,79,False,2,0
2024-01-01 02:00:00,data-pipeline,Data Engineering,347,25.730019964583363,33.88671875,0,0.13279910968850447,100,0.0005312615576125776,91.72674485348823,182,False,2,0
2024-01-01 03:00:00,web-app-prod,E-commerce,700,16.186645023034945,1.708984375,0,0.06120073764833679,100,0.0004875183439824729,85.96490853312955,107,False,3,0
2024-01-01 03:00:00,mobile-app-prod,Mobile,828,19.758125505958365,1.45546875,0,0.09737461779027559,100,0.0007975123594941653,93.30144106687833,191,False,3,0
