timestamp,shard_id,key_count,data_size_gb,operations_per_sec,avg_latency_ms,replica_count,healthy_replicas,replication_status,load_imbalance_percent,eviction_rate_per_sec,hot_key_count,cold_key_count,ttl_expirations_per_sec,compaction_ongoing,disk_usage_percent
2024-01-01 00:00:00,shard-001,1494024,45.149583894444426,693,4.504074776870317,3,3,HEALTHY,14.87041083259035,0.377201829137382,1465,1045816,37.40694504859872,False,73.27492679884544
2024-01-01 00:00:00,shard-002,1199234,38.66450601250816,519,9.107024758877962,3,3,HEALTHY,12.19037027409853,0.49320229070437793,851,839463,77.1205375199765,False,68.80066094452744
2024-01-01 00:00:00,shard-003,1782577,51.74918071072244,483,11.3988635541858,3,3,HEALTHY,12.26439695017855,0.45338475200849643,1012,1247803,53.047828771680855,True,55.35120118734361
2024-01-01 00:00:00,shard-004,900460,29.072478292750997,524,14.157857669676172,3,3,HEALTHY,8.20311450642214,0.45540785245966053,307,630322,57.10306359197399,False,43.76146155798245
2024-01-01 00:00:00,shard-005,1391081,42.55853484476696,334,8.43109385447244,3,2,DEGRADED,7.53701618177333,0.17316411669398774,992,973756,53.48466811440397,False,40.14038385046939
2024-01-01 02:00:00,shard-001,1485924,45.231871185191785,648,3.335845446015887,3,2,DEGRADED,11.137963286898461,0.16667960368848186,1222,1040146,36.01376903057562,False,68.07997634599698
2024-01-01 02:00:00,shard-002,1203424,38.71203757024397,516,12.90308672276357,3,3,HEALTHY,12.676015655091856,0.38477157413969604,799,842396,18.424831250353932,False,64.95728402574557
2024-01-01 02:00:00,shard-003,1816799,52.007615194036234,451,11.284574217004774,3,2,DEGRADED,13.914028071478345,0.052195210200223226,513,1271759,32.959949052734416,False,44.67554729883914
2024-01-01 02:00:00,shard-004,905119,29.025078349135406,544,7.451661508920324,3,3,HEALTHY,8.74118060363511,0.23259387932570877,377,633583,19.317738224580232,False,65.54571385968787
2024-01-01 02:00:00,shard-005,1401073,42.00091315613945,563,12.892908607200088,3,3,HEALTHY,1.3079928312687206,0.4714067029320395,297,980751,79.75470535680682,False,64.26479779596772
2024-01-01 04:00:00,shard-001,1512407,45.10935089963569,625,10.325500880887347,3,3,HEALTHY,16.01347104856233,0.11883144384733976,1258,1058684,22.732082159931842,False,45.070792079720796
